id,score
2,70
3,58
4,61
5,42
6,42
7,55
8,37
9,26
10,23
11,28
12,26
13,33
14,26
15,26
16,24
17,30
18,34
19,30
20,34
21,33
22,39
23,33
24,25
25,30
26,27
27,28
28,34
29,37
30,20
31,29
32,35
33,34
34,25
35,34
36,26
37,36
38,24
39,33
40,32
41,35
42,37
43,42
44,38
45,25
46,36
47,28
48,25
49,42
50,30
51,32
52,31
53,28
54,29
55,32
56,40
57,32
58,27
59,30
60,31
61,27
62,36
63,32
64,33
65,25
66,28
67,30
68,28
69,38
70,24
71,25
72,28
73,31
74,34
75,20
76,23
77,16
78,26
79,23
80,30
81,24
82,33
83,31
84,31
85,35
86,32
87,27
88,38
89,33
90,24
91,25
92,30
93,25
94,32
95,32
96,27
97,23
98,32
99,37
100,27
101,19
102,35
103,33
104,37
105,35
106,32
107,26
108,40
109,34
110,29
111,29
112,29
113,30
114,33
115,35
116,28
117,41
118,29
119,33
120,29
121,25
122,26
123,29
124,29
125,33
126,23
127,19
128,39
129,30
130,23
131,26
132,36
133,29
134,20
135,36
136,35
137,27
138,23
139,24
140,38
141,31
142,29
143,30
144,35
145,27
146,37
147,27
148,33
149,31
150,15
151,20
152,26
153,33
154,30
155,32
156,36
157,34
158,46
159,35
160,28
161,26
162,26
163,29
164,26
165,20
166,27
167,28
168,31
169,27
170,27
171,30
172,24
173,27
174,40
175,35
176,34
177,27
178,29
179,42
180,35
181,41
182,41
183,33
184,27
185,22
186,32
187,23
188,21
189,28
190,23
191,37
192,22
193,30
194,19
195,28
196,27
197,35
198,27
199,31
200,27
201,41
202,23
203,32
204,29
205,29
206,25
207,35
208,39
209,40
210,31
211,32
212,25
213,28
214,28
215,26
216,23
217,38
218,37
219,37
220,39
221,31
222,31
223,32
224,33
225,28
226,28
227,26
228,22
229,30
230,30
231,30
232,32
233,24
234,24
235,27
236,33
237,32
238,40
239,39
240,28
241,32
242,36
243,31
244,36
245,28
246,26
247,28
248,25
249,22
250,31
251,26
252,33
253,22
254,18
255,25
256,26
257,32
258,28
259,35
260,20
261,19
262,27
263,20
264,28
265,36
266,31
267,28
268,36
269,41
270,35
271,41
272,32
273,29
274,26
275,37
276,31
277,29
278,27
279,22
280,43
281,27
282,32
283,30
284,19
285,22
286,17
287,29
288,34
289,27
290,39
291,38
292,38
293,30
294,23
295,33
296,32
297,34
298,31
299,36
300,43
301,34
302,21
303,29
304,28
305,28
306,36
307,37
308,31
309,42
310,22
311,39
312,33
313,34
314,26
315,30
316,28
317,25
318,34
319,34
320,38
321,31
322,29
323,26
324,27
325,29
326,34
327,35
328,35
329,38
330,30
331,19
332,36
333,37
334,33
335,34
336,31
337,26
338,24
339,36
340,32
341,19
342,28
343,33
344,36
345,19
346,19
347,29
348,28
349,30
350,22
351,27
352,33
353,36
354,37
355,34
356,38
357,39
358,37
359,41
360,33
361,28
362,30
363,25
364,24
365,23
366,37
367,29
368,30
369,35
370,32
371,26
372,29
373,34
374,33
375,28
376,37
377,38
378,35
379,35
380,26
381,30
382,28
383,25
384,39
385,31
386,35
387,39
388,47
389,33
390,29
391,28
392,43
393,47
394,40
395,29
396,27
397,35
398,29
399,26
400,31
401,26
402,26
403,30
404,35
405,38
406,27
407,22
408,24
409,25
410,30
411,36
412,28
413,39
414,28
415,31
416,32
417,31
418,31
419,28
420,34
421,35
422,27
423,34
424,28
425,42
426,36
427,26
428,31
429,39
430,37
431,21
432,35
433,40
434,22
435,31
436,32
437,34
438,34
439,29
440,35
441,25
442,24
443,32
444,31
445,30
446,24
447,36
448,30
449,26
450,27
451,33
452,25
453,32
454,28
455,21
456,33
457,25
458,36
459,19
460,28
461,34
462,24
463,34
464,30
465,27
466,28
467,27
468,33
469,29
470,26
471,40
472,30
473,34
474,24
475,28
476,30
477,19
478,29
479,25
480,32
481,39
482,32
483,28
484,38
485,27
486,30
487,35
488,47
489,24
490,24
491,29
492,32
493,21
494,21
495,31
496,29
497,36
498,23
499,40
500,37
501,34
502,32
503,43
504,37
505,23
506,41
507,32
508,37
509,28
510,33
511,36
512,43
513,34
514,33
515,32
516,32
517,22
518,26
519,33
520,22
521,41
522,40
523,27
524,27
525,31
526,42
527,45
528,26
529,32
530,38
531,31
532,29
533,30
534,26
535,20
536,40
537,42
538,24
539,38
540,27
541,43
542,38
543,35
544,25
545,22
546,35
547,21
548,27
549,21
550,32
551,16
552,27
553,21
554,20
555,18
556,36
557,23
558,38
559,31
560,34
561,41
562,33
563,31
564,35
565,38
566,45
567,34
568,31
569,30
570,25
571,45
572,31
573,27
574,28
575,42
576,30
577,26
578,32
579,25
580,26
581,20
582,29
583,32
584,23
585,27
586,32
587,28
588,28
589,31
590,24
591,19
592,21
593,28
594,26
595,30
596,16
597,31
598,38
599,36
600,32
601,31
602,28
603,31
604,26
605,29
606,18
607,22
608,32
609,31
610,39
611,25
612,34
613,37
614,31
615,34
616,41
617,34
618,22
619,27
620,26
621,22
622,23
623,30
624,28
625,30
626,33
627,38
628,35
629,42
630,32
631,37
632,32
633,45
634,37
635,36
636,33
637,33
638,40
639,31
640,24
641,39
642,25
643,26
644,25
645,29
646,32
647,28
648,23
649,39
650,34
651,23
652,28
653,22
654,29
655,27
656,32
657,25
658,24
659,20
660,36
661,23
662,33
663,29
664,31
665,26
666,25
667,23
668,37
669,23
670,34
671,39
672,24
673,36
674,39
675,40
676,38
677,19
678,24
679,24
680,27
681,20
682,28
683,32
684,32
685,28
686,26
687,31
