id,atb,bta
1,64,70
3,54,56
4,43,37
5,44,44
6,41,44
7,36,34
8,33,35
9,26,22
10,18,24
11,34,31
12,24,34
13,27,35
14,36,35
15,17,28
16,28,31
17,34,22
18,34,44
19,25,32
20,27,41
21,27,38
22,34,29
23,27,27
24,37,40
25,31,37
26,25,26
27,31,39
28,24,26
29,34,40
30,29,28
31,46,34
32,42,30
33,33,30
34,25,19
35,25,33
36,19,35
37,25,28
38,24,26
39,25,41
40,29,35
41,34,26
42,38,25
43,41,27
44,31,25
45,30,25
46,35,36
47,34,29
48,40,41
49,37,26
50,38,31
51,20,26
52,29,25
53,21,28
54,23,30
55,22,27
56,25,26
57,23,31
58,43,29
59,26,32
60,41,30
61,27,31
62,35,22
63,37,33
64,31,36
65,24,36
66,34,29
67,27,26
68,32,31
69,25,29
70,25,25
71,26,38
72,38,31
73,24,21
74,32,31
75,28,21
76,35,41
77,27,31
78,22,28
79,28,22
80,27,23
81,34,37
82,22,23
83,29,40
84,34,34
85,28,30
86,43,42
87,27,33
88,35,26
89,23,27
90,25,26
91,31,34
92,32,24
93,30,31
94,28,23
95,35,31
96,27,32
97,22,25
98,35,39
99,41,29
100,26,27
101,37,33
102,28,17
103,21,28
104,45,22
105,25,25
106,22,28
107,29,38
108,27,30
109,28,28
110,39,31
111,35,38
112,21,34
113,24,29
114,42,32
115,29,25
116,37,29
117,31,26
118,24,20
119,18,21
120,36,23
121,29,36
122,31,31
123,26,24
124,27,31
125,39,33
126,28,33
127,35,23
128,34,30
129,23,24
130,23,37
131,39,18
132,33,41
133,34,26
134,19,30
135,28,22
136,27,22
137,27,25
138,26,24
139,35,27
140,25,44
141,35,35
142,27,18
143,32,32
144,40,40
145,24,27
146,28,24
147,21,15
148,34,26
149,25,26
150,25,24
151,13,14
152,30,31
153,28,32
154,29,30
155,22,36
156,32,28
157,35,31
158,35,32
159,21,20
160,31,23
161,26,31
162,30,23
163,35,33
164,23,26
165,23,25
166,21,22
167,22,21
168,27,23
169,37,33
170,39,33
171,34,37
172,26,39
173,43,26
174,28,39
175,39,36
176,31,25
177,31,36
178,32,34
179,27,23
180,37,40
181,22,27
182,27,26
183,30,22
184,39,26
185,36,28
186,24,32
187,27,24
188,30,30
189,30,25
190,42,35
191,36,20
192,37,37
193,25,24
194,18,31
195,26,29
196,21,16
197,31,32
198,32,17
199,22,13
200,37,20
201,28,34
202,33,36
203,37,30
204,34,33
205,34,38
206,33,34
207,28,35
208,49,36
209,23,23
210,28,24
211,28,26
212,31,29
213,43,35
214,25,30
215,33,32
216,28,31
217,34,29
218,23,32
219,39,34
220,33,35
221,28,33
222,36,29
223,29,37
224,37,38
225,34,33
226,30,30
227,35,38
228,22,30
229,20,21
230,31,26
231,32,25
232,38,20
233,27,25
234,27,25
235,14,25
236,26,21
237,21,27
238,37,35
239,31,23
240,40,30
241,20,28
242,32,39
243,31,29
244,29,27
245,31,38
246,32,32
247,36,35
248,16,27
249,24,28
250,41,29
251,19,29
252,32,31
253,21,27
254,27,25
255,28,33
256,25,24
257,23,27
258,18,25
259,21,29
260,24,43
261,21,12
262,28,26
263,32,33
264,33,34
265,25,26
266,30,33
267,29,15
268,25,25
269,35,29
270,25,18
271,32,29
272,30,42
273,32,40
274,36,27
275,35,32
276,34,37
277,23,28
278,35,27
279,27,31
280,32,26
281,22,24
282,29,24
283,21,18
284,32,31
285,28,23
286,27,28
287,30,35
288,27,21
289,33,30
290,38,26
291,32,29
292,34,33
293,27,33
294,29,26
295,39,33
296,32,39
297,35,24
298,38,28
299,26,30
300,30,34
301,30,29
302,38,35
303,20,20
304,38,31
305,39,35
306,37,28
307,43,30
308,27,27
309,36,47
310,26,33
311,37,30
312,36,25
313,24,26
314,27,22
315,23,26
316,30,29
317,20,27
318,35,26
319,27,35
320,22,33
321,24,16
322,31,34
323,42,39
324,28,25
325,31,30
326,36,37
327,38,32
328,32,29
329,40,41
330,30,26
331,27,23
332,42,29
333,32,24
334,23,26
335,31,22
336,35,29
337,22,21
338,20,21
339,29,28
340,32,37
341,30,25
342,24,29
343,25,31
344,28,28
345,27,27
346,24,35
347,22,18
348,28,30
349,27,22
350,28,28
351,20,21
352,24,25
353,34,22
354,23,30
355,41,43
356,26,33
357,25,31
358,38,38
359,52,43
360,44,42
361,29,31
362,21,25
363,27,22
364,19,25
365,35,26
366,30,30
367,22,15
368,38,34
369,33,36
370,31,22
371,39,30
372,28,33
373,31,39
374,26,29
375,31,33
376,40,33
377,33,33
378,32,46
379,25,26
380,23,27
381,21,23
382,34,27
383,21,36
384,25,18
385,28,29
386,35,41
387,39,31
388,48,34
389,40,27
390,33,31
391,36,42
392,40,33
393,34,41
394,38,27
395,41,40
396,34,20
397,35,21
398,39,31
399,34,44
400,41,45
401,23,19
402,25,25
403,36,38
404,24,31
405,26,35
406,36,28
407,29,26
408,24,28
409,24,27
410,32,31
411,35,26
412,19,34
413,33,29
414,28,35
415,25,26
416,22,32
417,32,23
418,26,23
419,27,40
420,27,26
421,36,24
422,41,28
423,34,27
424,23,30
425,32,29
426,26,26
427,25,32
428,26,36
429,25,29
430,22,20
431,35,32
432,41,30
433,35,34
434,34,31
435,32,25
436,21,24
437,32,32
438,35,31
439,33,30
440,29,34
441,33,30
442,27,26
443,26,25
444,37,32
445,31,27
446,23,24
447,24,24
448,38,26
449,23,18
450,26,25
451,27,43
452,36,40
453,33,35
454,22,29
455,26,24
456,28,23
457,25,21
458,30,36
459,27,34
460,25,23
461,24,21
462,23,20
463,29,28
464,27,23
465,34,26
466,38,24
467,38,29
468,28,33
469,28,32
470,24,28
471,33,31
472,28,28
473,21,28
474,24,34
475,22,17
476,27,21
477,21,21
478,25,29
479,28,24
480,35,31
481,50,30
482,29,32
483,27,38
484,26,30
485,30,27
486,36,26
487,28,42
488,39,33
489,38,31
490,32,36
491,23,20
492,22,24
493,20,30
494,24,23
495,24,16
496,43,36
497,35,37
498,36,18
499,27,37
500,33,39
501,33,32
502,32,33
503,38,39
504,38,33
505,30,28
506,41,27
507,34,43
508,28,25
509,35,38
510,34,30
511,34,34
512,41,17
513,22,32
514,26,32
515,30,28
516,29,22
517,31,37
518,28,30
519,29,35
520,29,21
521,33,28
522,31,40
523,22,26
524,41,34
525,29,26
526,34,32
527,39,36
528,29,36
529,33,39
530,29,33
531,22,34
532,28,31
533,27,30
534,25,24
535,23,32
536,30,35
537,32,34
538,30,24
539,39,32
540,33,40
541,26,25
542,28,24
543,32,43
544,35,31
545,18,29
546,32,38
547,31,31
