fp_id,s1,s2,s3,s4,s5,name
1,26,25,10,7,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/1.jpg
2,16,30,21,4,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/2.jpg
3,21,48,17,7,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/3.jpg
4,31,33,16,6,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/4.jpg
5,28,24,10,7,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/5.jpg
6,19,26,13,6,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/6.jpg
7,23,16,12,5,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/7.jpg
8,37,37,17,8,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/8.jpg
9,29,26,18,8,19,/home/mohammed/server/FMVLD/Impression_1/fp_1/9.jpg
10,20,27,18,3,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/10.jpg
11,32,19,17,5,15,/home/mohammed/server/FMVLD/Impression_1/fp_1/11.jpg
12,24,21,20,5,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/12.jpg
13,25,22,11,0,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/13.jpg
14,18,31,17,5,16,/home/mohammed/server/FMVLD/Impression_1/fp_1/14.jpg
15,18,31,15,6,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/15.jpg
16,16,23,15,6,15,/home/mohammed/server/FMVLD/Impression_1/fp_1/16.jpg
17,17,21,15,4,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/17.jpg
18,22,26,13,5,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/18.jpg
19,19,35,12,6,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/19.jpg
20,16,26,13,2,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/20.jpg
21,22,23,14,0,14,/home/mohammed/server/FMVLD/Impression_1/fp_1/21.jpg
22,18,30,21,6,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/22.jpg
23,18,26,8,6,4,/home/mohammed/server/FMVLD/Impression_1/fp_1/23.jpg
24,24,25,16,10,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/24.jpg
25,26,36,17,6,15,/home/mohammed/server/FMVLD/Impression_1/fp_1/25.jpg
26,27,30,20,7,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/26.jpg
27,33,29,14,5,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/27.jpg
28,36,42,12,9,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/28.jpg
29,22,27,9,7,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/29.jpg
30,38,25,10,3,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/30.jpg
31,23,34,20,8,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/31.jpg
32,28,37,16,10,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/32.jpg
